// Armazenamento de todas as perguntas e suas respectivas respostas
pergunta;a;b;c;d;correta
Quais são os ingredientes essenciais do soro caseiro contra a desidratação?;Mel, limão e água gelada;Açúcar, sal de cozinha e água fervida;Bicarbonato de sódio, vinagre de maçã e água;Sal refinado, azeite e água mineral natural;B
Como se chama a alteração da frequência do som ao passar por uma ambulância?;Efeito Doppler;Efeito Estufa;Efeito Joule;Efeito Coriolis;A
Em um aquecedor solar, como ocorre a principal transferência de calor para a água?;Por condução de estado sólido;Por irradiação de ondas eletromagnéticas;Por difusão de partículas gasosas;Por convecção das massas de água fluida;D
Quais dessas graves doenças virais são consideradas arboviroses urbanas?;Raiva e Tétano;Tuberculose e Sarampo;Zika e Chikungunya;Cólera e Sífilis;C
Em que tecido de animais vertebrados os poluentes apolares tendem a se acumular?;Tecido nervoso;Tecido ósseo;Tecido sanguíneo;Tecido adiposo;D
Por que notebooks passam separadamente na esteira de raios X do aeroporto?;Componentes densos escondem objetos sob eles;Os raios desmagnetizam o disco rígido da máquina;O metal pode aquecer e causar grandes explosões;A radiação apaga os arquivos salvos em memória;A
Em qual órgão humano ocorre a reação inicial do nitrito de sódio com ácido?;Estômago;Fígado;Intestino;Pâncreas;A
O que torna o interior de um iglu capaz de proteger os moradores do frio extremo?;O gelo irradia o calor absorvido de volta ao ar;O ar contido no gelo atua como isolante térmico;Há uma total ausência de pressão atmosférica;O seu formato atrai e multiplica os raios solares;B
Na técnica de fitorremediação, o processo de fitoextração serve basicamente para:;Queimar rapidamente resíduos orgânicos tóxicos;Remover metais poluentes acumulando nas plantas;Destruir bactérias mutantes do solo contaminado;Volatilizar o excesso de carbono para o espaço;B
Qual material de alta tecnologia gera eletricidade ao receber gotas de chuva?;Silício;Alumínio;Grafeno;Cobre;C
No romance totalitário "1984" de Orwell, o rígido controle do Estado é feito por:;Manipulação de memórias e registros históricos;Acesso ilimitado à internet e alta tecnologia;Modelos econômicos voltados ao livre mercado;Imposição de dogmas religiosos e práticas pagãs;A
Qual celebração anual é uma marcante tradição de herança indígena no México?;Dia de Ação de Graças;Festa de San Fermín;Día de los Muertos;Carnaval de Barranquilla;C
O folclore do Chile afirma que a dança nacional "Cueca" simula a movimentação de:;Um combate de soldados na guerra da independência;Ventos gelados descendo pela cordilheira dos Andes;Agricultores festejando a farta colheita do trigo;O cortejo amoroso entre um galo e uma galinha;D
Qual é a principal característica da Geração Alfa em relação à tecnologia?;Possui grande dependência dos recursos digitais;Prefere meios de comunicação puramente analógicos;Usa a tecnologia de forma esporádica e cautelosa;Rejeita totalmente a exposição a telas digitais;A
Na língua inglesa, o termo "snowflake generation" é usado para descrever o quê?;Jovens muito engajados em política extrema;Estudantes com excelentes notas em ciências;Uma juventude muito avessa a contrariedades;Universitários especialistas em clima frio;C
Na biologia, a técnica de fitovolatilização se refere a qual processo?;Uso de plantas para transformar metais em gases;Extração de água pura diretamente das raízes;Uso de algas marinhas para criar chuva artificial;Destruição de fungos usando calor solar intenso;A
Na literatura romântica brasileira, como a mulher era frequentemente retratada?;Como guerreira forte e independente do homem;Como figura decorativa ante o poder masculino;Como grande líder política de seu estado;Como a principal provedora financeira do lar;B
Qual o foco principal do programa esportivo brasileiro Maré Inclusiva?;Premiar os melhores atletas de futebol do país;Treinar nadadores para competições de alto luxo;Transformar vidas e incluir por meio do parasurf;Excluir atletas que não nasceram no litoral sul;C
Ao pintar retratos de negros e indígenas anonimizados, Dalton Paula busca evidenciar o quê?;Que a arte promove afirmação de identidade social;O uso de técnicas europeias no Brasil colônia;A necessidade de esquecer o passado nacional;O fato de que esses povos dominavam o império;A
O cultivo tradicional da cana-de-açúcar no massapé baiano espelhou historicamente o quê?;A extinção das classes sociais rurais locais;A permanência dos privilégios de classe dominantes;A distribuição de renda igualitária no sertão;O rápido avanço tecnológico dos camponeses;B
O que caracteriza estruturalmente e historicamente o gênero textual crônica?;Ser uma mistura rica de jornalismo e literatura;Descrever eventos exclusivamente fantasiosos;Ser escrito apenas em forma de poemas curtos;Necessitar de grande profundidade acadêmica;A
Por que a pandemia de 1918 ficou famosa mundialmente como "gripe espanhola"?;Pois a Espanha foi a principal culpada pelo vírus;Devido à grande liberdade de imprensa na Espanha;Porque todos os médicos infectados eram espanhóis;Por ter dizimado apenas a população de Madri;B
Qual é o principal impacto econômico da diminuição do nível da água no rio Reno?;Encarecimento extremo da logística de transporte;Inviabilização das rotas de pesca artesanal;Destruição das fazendas de trigo nas margens;O fim completo do turismo aquático na região;A
O que provocou a drástica queda na participação eleitoral no Brasil a partir de 1881?;A exigência de ser proprietário de grandes terras;A proibição do voto feminino na constituição;A obrigação de ser militar para poder votar;A exigência obrigatória da alfabetização;D
O desmatamento da Floresta Amazônica impacta a geração de energia elétrica porque:;Altera o percurso das marés nos oceanos do norte;Diminui a quantidade de água que vai para a atmosfera;Esfria excessivamente os rios do nordeste;Gera aumento do consumo das indústrias locais;B
Para Adam Smith, o que motiva moralmente o padeiro a vender seu pão na sociedade?;O desejo de prejudicar outras padarias menores;Uma percepção forte de responsabilidade ética;O objetivo único e puro de espalhar a paz mundial;A vontade de se submeter às regras da monarquia;B
Segundo a teoria política clássica de Aristóteles, o que caracteriza as formas justas de governo?;A tirania e a opressão absoluta de seu líder;O benefício exclusivo de quem está no poder;O foco no bem-estar comum e geral da cidade;A riqueza material desmedida dos trabalhadores;C
Qual fator nacional mais impulsionou o alto volume de exportações de soja e carne no Brasil?;O retorno das técnicas agrícolas medievais;O abandono do uso de agrotóxicos em geral;A valorização e estímulo ao trabalho escravo;A forte entrada do capital agroindustrial no campo;D
A fazenda Cabaceiras foi desapropriada no Brasil por trabalho escravo e por qual outro crime?;Graves e imensas infrações e danos ambientais;Invasão de terras destinadas à coroa portuguesa;Financiamento de grupos paramilitares rebeldes;Falsificação de documentos fiscais agrícolas;A
No período da Idade Média ocidental, as pessoas acreditavam que poderiam ser salvas ao:;Praticar intensas ações voluntárias e individuais;Combater os inimigos de Cristo no Oriente;Comprar relíquias vindas do norte da Europa;Desprezar todas as escrituras da Igreja Católica;B
Os frequentes desmoronamentos de solo nas grandes cidades ocorrem principalmente devido à:;Formação natural de grandes cavernas subterrâneas;Falta de chuva e ressecamento profundo da terra;Impermeabilização da superfície ocupada;Plantação excessiva de árvores de grande porte;C
Os protestos contra a demolição do último trecho original do Muro de Berlim representavam:;Uma clara violação à memória coletiva da cidade;A vontade de isolar novamente a Alemanha oriental;A defesa de projetos da arquitetura neoclássica;A necessidade urgente de escoamento do trânsito;A
Qual fator social contribui fortemente para a invisibilização das religiões afro-brasileiras?;O rápido enriquecimento de seus principais líderes;O peso do forte preconceito racial na sociedade;A obrigação legal de pagar altos impostos mensais;O afastamento voluntário de todos os seus fiéis;B
O aumento do uso de inseticidas sintéticos na agricultura provocou qual grave impacto ecológico?;O aumento da espessura da camada de ozônio;Queda da diversidade de polinizadores naturais;A limpeza das impurezas em rios e córregos locais;O resfriamento térmico das plantações tropicais;B
Segundo o filósofo Norberto Bobbio, a lista dos direitos do homem não é absoluta, pois:;Eles são definidos exclusivamente pelas religiões;Dependem da boa vontade de todos os governantes;Constituem uma classe sempre variável e mutável;Foram abolidos após o fim do século dezoito;C
Qual é o minério base, cuja mineração gera grandes impactos, usado para fazer o alumínio?;Ouro bruto;Hematita de ferro;Nitrato de sódio;Bauxita de alumina;D
Na década de 1920, jornais criticavam as crianças no cinema usando qual principal argumento?;As crianças esqueciam os idiomas locais e oficiais;As cadeiras dos cinemas não eram ergonômicas;Havia pouco caso na seleção adequada de filmes;Os ingressos cobrados eram muito caros na época;C
Os direitos garantidos na Constituição aos índios sobre suas terras visam preservar o quê?;A complexidade valiosa de seus saberes tradicionais;A capacidade militar das aldeias contra o exército;O poder de venda livre dessas propriedades ao Estado;A extração mineral para grandes multinacionais;A
Para visualizar uma célula muito pequena num microscópio, é necessário que as lentes tenham:;A cor azul para refletir melhor os raios da luz solar;Uma forte capacidade de ampliação em seu conjunto;Apenas o peso suficiente para não danificar o vidro;Nenhuma interferência com o material biológico;B
O crescimento excessivo do atendimento automático e burocracia no telefone gerou no homem:;A sensação de profunda independência e autonomia;Uma dependência frustrante e intensa incapacidade;O enriquecimento acelerado de quem usa o sistema;O fim total da violência no convívio das metrópoles;B
A empresa Broad Sustainable Building revolucionou a construção civil na China usando qual técnica?;Concreto moldado na hora por milhares de operários;Estruturas puramente de madeira vindas de navio;Arquitetura modular de encaixe rápido e prefabricada;Vidros gigantes à prova de fortes terremotos asiáticos;C
A popularização e o atual respeito pela dança "Candombe", antes alvo de racismo, deve-se à:;Crescente aceitação do seu valor na sociedade;Ordem legal que força as pessoas a dançarem;Falta de outros estilos musicais no continente;Proibição de qualquer música ocidental moderna;A
Sociologicamente e nos esportes, o que diferencia basicamente uma "luta" de uma "briga"?;O uso exclusivo de socos em oposição aos chutes;A existência de juízes, intenções claras e regras;A presença de fortes sentimentos de raiva e ira;A quantidade de sangue derramado no ambiente;B
Ao dar a um relógio o papel de aprisionador de homens, Júlio Cortázar está criticando o quê?;O mau funcionamento das engrenagens modernas;A falta de habilidade manual do homem no século XX;A escravidão inconsciente do ser humano ao tempo;Os preços muito altos cobrados pelos relojoeiros;C
Na preparação médica do soro caseiro, quais são os dois componentes dissolvidos na água fervida?;Azeite de oliva extra virgem e vinagre;Bicarbonato de sódio e limão siciliano;Açúcar refinado comum e sal de cozinha;Álcool etílico hidratado e ervas medicinais;C
O processo físico que dificulta a perda do calor vital dentro de um iglu congelado ocorre porque:;O gelo atrai intensamente a radiação do sol no inverno;O ar preso no gelo e no ambiente age como isolante;A pressão anula a transferência térmica local;A respiração humana produz fogo invisível no gelo;B
Na sociedade totalitária do livro 1984, o partido domina as pessoas principalmente controlando o quê?;Apenas as contas bancárias e moedas virtuais;A velocidade da internet nos computadores em casa;Os registros históricos e as memórias da população;As armas de fogo de destruição nuclear globais;C
Em física, a percepção do som de uma sirene se alterando ao passar por uma pessoa é chamado de:;Efeito Estufa;Efeito Doppler;Fenômeno de Curie;Difração de Newton;B
Em termos de saúde pública, a urbanização irregular facilita muito os casos de zika porque:;Atrai raposas e onças que espalham a grave doença;Congela rapidamente os rios que secam os focos;Reduz drasticamente a temperatura dos asfaltos;Aproxima muito as pessoas de áreas com mosquitos;D
Por que notebooks não devem passar junto com outros itens no raio-x do aeroporto?;Seu formato oval reflete luz cortante aos guardas;Suas baterias explodem facilmente ao menor toque;Possuem componentes densos que escondem objetos;Sua radiação natural destrói os filmes das bagagens;C
Qual é o papel das bactérias eletrogênicas que limpam resíduos no esgoto e geram energia?;Elas convertem e consomem a matéria orgânica;Elas sugam o oxigênio e sufocam os animais marinhos;Elas destroem as paredes plásticas das baterias;Elas reproduzem vírus nocivos à saúde humana;A
Para o antigo filósofo grego Heráclito, o universo se move o tempo todo por causa de qual força?;O conflito eterno e a harmonia entre coisas opostas;A inércia que paralisa todas as grandes rochas;A paz completa e a ausência absoluta de dor vital;A intervenção de deuses egípcios desconhecidos;A
Quando os europeus viam rituais de canibalismo Tupi, eles equivocadamente concluíam que era:;Sinal de grande avanço na organização militar;O resultado da escassez total de peixes na região;Uma prova inquestionável de barbárie e selvageria;A comprovação da existência de seres monstruosos;C
A Roda dos Expostos em 1726, no Brasil Colônia, tinha qual triste, porém histórica, função real?;Acolher anonimamente bebês recém-nascidos rejeitados;Punir e esmagar publicamente criminosos fugitivos;Girar e moer os enormes pedaços de cana-de-açúcar;Fornecer água limpa às pessoas infectadas com lepra;A
Para o pensador Bentham, a lei penal e a punição de um crime só se justificam moralmente quando:;Geram medo profundo no coração de adolescentes;Garantem a felicidade do juiz e dos executores locais;Protegem, equilibram e promovem a felicidade geral;Atendem as duras exigências divinas dos dogmas;C
O conceito moderno de Cidade Sustentável abrange eficiência enérgica unida, fundamentalmente, à:;Expansão agressiva dos campos para agropecuária;Equidade socioespacial e muita prudência ecológica;Destruição velada de todo o transporte rodoviário;Geração contínua e lucrativa de novos bilionários;B
Políticas estatais focadas apenas em garantir cotas para mulheres apoiam-se na lógica da:;Hegemonia cultural masculina absoluta e eterna;Exclusão reversa que castiga os homens brancos;Discriminação positiva (ou seja, ações afirmativas);Violência desmedida contra o sistema econômico;C
No combate às chamas do Cerrado, satélites identificam relevo e vento para simular o quê?;As rotas migratórias velozes dos pássaros assustados;Prever o comportamento e a direção do fogo;A quantidade exata de água potável no fundo do solo;Os nomes precisos das pessoas que causaram o dano;B
Em inovações, camadas de grafeno nas placas solares podem usar as gotas da chuva para:;Absorver todo o calor do sol sem derreter o vidro;Espantar raios fulminantes longe da estrutura da casa;Gerar muita diferença de potencial com íons da água;Acabar de vez com os vazamentos severos no telhado;C
Qual a principal vantagem biológica para a cobra falsa-coral imitar o padrão da coral verdadeira?;Isso espanta a fome e aquece as escamas no escuro;Reduz muito o risco de caça por predadores;Garante a rápida atração de milhares de filhotes falsos;Protege contra parasitas venenosos do chão da mata;B
Para observar a estrutura de uma minúscula hemácia, os biólogos combinam lentes para:;Reduzir rapidamente a refração perigosa da luz solar;Garantir o aumento visual com alta resolução;Distorcer a figura para analisar falhas na cor do sangue;Mudar o DNA de modo a acelerar a resposta do remédio;B
Campanhas médicas defendendo ambientes abertos e redes de afeto visam abolir o quê?;As escolas primárias precárias e mal equipadas;Os severos hospícios e tratamentos manicomiais;As vacinas obrigatórias dadas nos centros públicos;A circulação diária dos carros de passeio nas ruas;B
Ao exibir pegadas de bichos ao lado de uma lata velha amassada, os ecologistas tentam alertar para:;A perigosa evolução natural dos mamíferos urbanos;O grave impacto do lixo no habitat dos bichos;A reciclagem fácil do alumínio por qualquer pessoa;A fuga desesperada das pessoas com medo da selva;B
A grande contradição apontada por críticos no carro elétrico atual é sua necessidade profunda de:;Água tratada potável em grandes quantidades anuais;Madeira desmatada para revestir as portas do veículo;Uso de metais raros escassos e não renováveis;Couro bovino extraído sem nenhum cuidado ecológico;C
Qual foi a principal consequência biológica ao introduzir inseticidas pesados nas lavouras do país?;Inibição da chuva localizada nas áreas agrícolas;Queda da diversidade de polinizadores naturais;Surgimento de novos tipos de árvores venenosas;Erosão imediata de todos os morros em volta do local;B
Por que, no conceito de fitorremediação, prefere-se usar plantas em vez de trituradores nas fábricas?;Remove os poluentes do solo de modo ecológico;Causa o congelamento acelerado das moléculas tóxicas;Elimina toda a radiação atômica existente no lugar;Gera fumaça perfumada para mascarar o odor do lixo;A
Qual era a grande diferença prática da carta de próprio punho para os aplicativos de texto de hoje?;Causava grande letargia nas mãos e mente do autor;Era muito mais veloz e apagava-se depois de um dia;Apresentava forte caráter físico, duradouro e lento;Permitia criar mensagens com vídeo e áudio juntos;C
Historicamente, nas fábulas orais com animais, qual era a intenção da narrativa?;Divertir exclusivamente bebês com cantos infantis;Ilustrar um ensinamento prático e uma lição moral;Mudar as leis econômicas que controlam a riqueza;Assustar adultos para não saírem durante a noite;B
Para a ativista Angela Davis, a filosofia deve focar também em:;Mudar a rotina matemática da ciência da computação;Fazer pessoas enriquecerem rápido na bolsa de valores;Resolver urgentes e duros problemas da miséria social;Apagar a herança clássica de Sócrates das escolas;C
No sistema da "X Solidaria" da Espanha, o que o cidadão trabalhador consegue fazer legalmente?;Negar-se a pagar metade dos tributos à segurança local;Transferir sua dívida para as empresas ricas vizinhas;Destinar uma fatia de seus impostos para obras sociais;Ser isento da taxa se atuar em brigadas de incêndio;C
A dependência pesada de celulares nas ruas tem gerado em parte da população jovem um sentimento de:;Empatia e paz interior sem falhas e perfeita alegria;Desumanização aparente, perda de tempo e estresse;Amor incondicional a quem fabrica os aparelhos novos;Total imersão espiritual em filosofias místicas;B
Quando um estado brasileiro zera a fila de transplantes de córnea, o principal fator de ajuda foi:;A total e brutal redução dos acidentes em automóveis;A importação ilegal de órgãos artificiais estrangeiros;A grande conscientização para aumento dos doadores;O fechamento proposital dos centros oftalmológicos;C
Por que o grafeno tem sido muito cotado como o material elétrico do futuro para a tecnologia?;Porque suas propriedades de condução são absurdas;Pois é feito inteiramente de plástico macio reciclável;Porque emana calor que cozinha alimentos rapidamente;Devido à sua enorme semelhança com a madeira leve;A
Por que ferver o milho recém-colhido ajuda a manter seu sabor adocicado?;Inibe a produção de vitaminas e sais;Degrada os nutrientes por choque térmico;Desidrata os grãos pela evaporação da água;Causa desnaturação enzimática pelo calor;D
Na concepção científica atual, o que define primordialmente um composto orgânico?;Ser uma substância exclusiva de seres vivos;Conter o elemento carbono como sua base;Ser sintetizado sempre sem uso de agrotóxicos;Ser facilmente solúvel em água mineral;B
Na biotecnologia, a técnica de transcriptase reversa (RT-PCR) é útil principalmente para:;Detectar os genes ativamente expressos;Eliminar bactérias mutantes do sangue;Criar vacinas com vírus inteiros vivos;Identificar todas as doenças autoimunes;A
A introdução gradual de espécies vegetais na recuperação de áreas degradadas é análoga à:;Adaptação evolutiva rápida;Competição predatória animal;Sucessão ecológica natural;Fixação exclusiva de carbono;C
Qual atleta olímpico é mais beneficiado por possuir muitas fibras musculares brancas (rápidas)?;Um nadador de longa maratona aquática;Um ciclista de resistência em rodovias;Um competidor de salto em altura;Um maratonista de longas distâncias;C
Como os crustáceos conseguem crescer mesmo possuindo um exoesqueleto de quitina muito rígido?;O esqueleto estica junto com os órgãos;Trocando de exoesqueleto através de mudas;Formando o esqueleto apenas na fase adulta;Absorvendo muita água para amolecer a casca;B
Em células eucarióticas, qual estrutura é responsável direta pelo movimento e formato da célula?;Os vacúolos digestivos;A parede celular primária;O material genético (DNA);Os microfilamentos do citoesqueleto;D
Qual método é adequado para separar o hidróxido de magnésio sólido de uma mistura aquosa?;Evaporação rápida;Filtração comum;Destilação fracionada;Catação magnética;B
Biologicamente, qual a principal função do som estridente emitido por sapos e pererecas na natureza?;Indicar presença de poluição tóxica;Atrair fêmeas férteis para o acasalamento;Assustar humanos em áreas urbanizadas;Direcionar os voos de insetos noturnos;B
Ao contrário do vírus HIV, que destrói células de defesa, o vírus HTLV-1 pode ocasionar qual doença?;Hepatite crônica avançada;Câncer por proliferação de linfócitos;Síndrome da imunodeficiência adquirida;Diabetes tipo um de nascença;B
Nas vacinas modernas, a presença da proteína viral espícula (spike) tem como objetivo principal:;Induzir o corpo a produzir anticorpos;Alterar o DNA humano permanentemente;Matar as bactérias benéficas do pulmão;Fornecer imunidade passiva imediata;A
Para Michel Foucault, a vigilância em escolas, hospitais e quartéis indica qual característica do poder?;A exclusividade do uso de castigos físicos;A capilarização e sutileza das práticas de controle;O fim da autoridade dos grandes monarcas;A ausência total de leis punitivas modernas;B
Na Roma Antiga, por que os plebeus exigiam e lutavam por um conjunto de leis que fossem escritas?;Para impedir a manipulação feita pelos patrícios;Para poderem ler histórias aos seus filhos;Para expulsar os deuses pagãos dos templos;Porque o papel estava em excesso no império;A
Como manifestação do Hip Hop, o break dancing representa o cenário urbano moderno ao utilizar:;Passos eruditos herdados da nobreza;Coreografias ditadas pelo governo local;Movimentos improvisados e de grande dinâmica;Silêncio absoluto durante as apresentações;C
Atualmente, por que os incêndios em domicílios tendem a se propagar com uma rapidez muito maior?;Pela péssima ventilação nos banheiros;Pela arquitetura antiga das fachadas;Pelo grande uso de materiais sintéticos e plásticos;Devido à falta de água no encanamento;C
Segundo Eduardo Galeano, o que caracterizou o passado histórico dos países da América Latina?;O enriquecimento igualitário de seus povos;A constante subordinação e redes de dependência;A recusa total aos modelos do comércio global;A vitória indígena pacífica e diplomática;B
Ao chamar o computador de "a bicicleta para a mente", Steve Jobs quis destacar qual característica?;Sua fragilidade frente à natureza selvagem;O fato de ser uma ferramenta que amplia o potencial;Sua velocidade igual ao giro de pedais humanos;A necessidade de usar força física para ligá-lo;B
Historicamente, a figura indígena de Malinche foi peça-chave na conquista da América porque atuou como:;Intérprete para os colonizadores espanhóis;Guerreira implacável que derrotou a Espanha;Rainha pacifista e diplomata da floresta;Curandeira milagrosa das doenças europeias;A
No Uruguai, ativistas pedem o fim do feriado do "Dia da Raça" utilizando qual principal argumento?;Que a América nunca foi habitada no passado;A chegada dos europeus foi um saque, não descoberta;A data coincide com as festas de carnaval;O nome não possui nenhuma conotação histórica;B
Qual é o recurso de linguagem predominantemente usado nas histórias em quadrinhos para atrair o leitor?;Ausência de pontuação e linguagem confusa;Descrições literárias extremamente longas;Interação ágil entre texto verbal e imagem;Exclusividade no uso de palavras arcaicas;C
Nas campanhas governamentais modernas, qual atitude social ajuda a eliminar as filas de transplantes?;A restrição legal da medicina avançada;A proibição de exames complexos de sangue;A difusão e conscientização sobre doação de tecidos;O investimento em cirurgias plásticas;C
Para as Nações Unidas, o direito das tribos manterem plantas e sementes medicinais visa preservar o quê?;A exclusão de novos vírus do continente;A complexidade valiosa de seus saberes tradicionais;A patente militar do líder da aldeia isolada;O monopólio farmacêutico de empresas privadas;B
No ciclo do nitrogênio, a conversão de nitratos novamente para gás nitrogênio é feita pelas:;Bactérias desnitrificantes;Algas fotossintetizantes;Raízes de leguminosas;Bactérias fixadoras de amônia;A
A densidade demográfica de uma área urbana ou rural é obtida através de qual operação?;Somando habitantes com o total de indústrias;Pela razão entre o número de pessoas e a área;Pela contagem de domicílios multiplicada por dois;Pelo número de nascimentos a cada cem anos;B
Em áreas urbanas com trânsito, a reação dos gases dos motores à luz solar gera um fenômeno chamado:;Nevasca ácida localizada;Fumaça fotoquímica poluente (smog);Resfriamento magnético;Ventos solares radioativos;B
Para quem está parado, como é percebido o som de uma ambulância veloz se afastando na pista?;O som se torna subitamente muito mais agudo;A frequência aparente diminui, parecendo mais grave;O volume aumenta e a frequência fica infinita;O som fica inaudível no exato instante da passagem;B
Qual é o nome do principal minério da natureza explorado para se fabricar o alumínio?;Grafite e diamante;Salitre do Chile;Hematita férrica;Bauxita rica em alumina;D
Sentar no fundo da sala pode atrapalhar a aprendizagem do aluno devido a qual fenômeno sonoro?;Ao aumento do vácuo no ar ambiente;À diminuição da inteligibilidade por ruído de fundo;Pela formação de ondas eletromagnéticas cegas;Pelo eco perfeitamente sincronizado com a fala;B
O clássico soro caseiro ajuda muito pacientes com diarreia aguda devido à sua função de:;Repor água e sais minerais vitais que foram perdidos;Eliminar 100% das bactérias ruins de forma imediata;Congelar o sistema digestivo inflamado;Causar um poderoso efeito calmante e anestésico;A
Na definição contemporânea, o que se entende por uma "cidade sustentável"?;Aquela focada no transporte individual rodoviário;Aquela que une eficiência energética e equidade;A que expande suas fronteiras destruindo matas;A que isola suas classes ricas em grandes muros;B
O que justifica o formato e cores idênticas entre a cobra falsa-coral e a coral-verdadeira?;Para se camuflar perfeitamente apenas na neve;Para aquecer o corpo com a luz refletida do sol;É uma tática vantajosa para enganar predadores;Para atrair presas herbívoras que comem flores;C
O que Aluísio Azevedo criticou intensamente com o livro "O Mulato" sobre o Brasil Colônia?;A falta de investimento no plantio de algodão;A hegemonia racista branca e o forte preconceito;A ausência de regras na capoeira africana;O excesso de miscigenação na família real de Portugal;B
Para os críticos da modernidade intensa, o excesso da dependência tecnológica atual gera nos humanos:;Uma despersonalização e estresse profundos;Paz de espírito contínua e imutável harmonia;Um resgate forte do contato com a terra natural;O fim dos problemas físicos e das alergias;A
Por que lugares com ausência severa de saneamento básico e urbanização irregular facilitam mosquitos?;O asfalto quente mata os sapos comedores de larvas;Aproximam muito a população das águas empoçadas;Tornam a água dos rios muito ácida e limpa;Espantam os pássaros que trazem vacinas naturais;B
O impacto no volume de chuvas ocasionado pelo grande desmatamento da floresta Amazônica pode afetar:;A segurança nas rodovias por excesso de neblina gélida;O funcionamento em capacidade alta de hidrelétricas;O rendimento de painéis solares na Europa;A formação dos vulcões no litoral sudeste;B
Qual é o grande ganho das ferramentas computacionais e satélites no combate a chamas no Cerrado?;Produzir nuvens densas artificiais que chovem;Estimar com precisão o risco e propagação do fogo;Refletir o calor de volta para o sol com espelhos;Proibir o plantio de cana perto das árvores locais;B
Para o clássico pensamento de Platão, como a estrutura política da cidade ideal seria mantida unida?;O povo seria guiado e dirigido apenas por filósofos;Os comerciantes deteriam o poder militar absoluto;Cada habitante faria o que quisesse sem julgamentos;Os escravos governariam as grandes decisões;A
Nas origens do cinema na década de 1920, os pais criticavam as idas de seus filhos devido a qual fator?;Falta de cadeiras e ar puro nas escuras exibições;Alto grau de letargia pela exposição ao sol;Exposição a conteúdos morais considerados inadequados;Valores abusivos que arruinavam finanças humildes;C
